date,sales
2024-01-02,2226
2024-01-03,1517
2024-01-04,2517
2024-01-05,1097
2024-01-07,1196
2024-01-08,1285
2024-01-09,2397
2024-01-10,1137
2024-01-11,2978
2024-01-12,1779
2024-01-14,1053
2024-01-15,1252
2024-01-16,2676
2024-01-17,2612
2024-01-18,1186
2024-01-19,1885
2024-01-21,1271
2024-01-22,2638
2024-01-23,1142
2024-01-24,1407
2024-01-25,1814
2024-01-26,1153
2024-01-28,2524
2024-01-29,1103
2024-01-30,1805
2024-01-31,1090
2024-02-01,1445
2024-02-02,2086
2024-02-04,2616
2024-02-05,1490
2024-02-06,1382
2024-02-07,2163
2024-02-08,1640
2024-02-09,1322
2024-02-11,1669
2024-02-12,2425
2024-02-13,1299
2024-02-14,1157
2024-02-15,1144
2024-02-16,1743
2024-02-18,2933
2024-02-19,2651
2024-02-20,2186
2024-02-21,2807
2024-02-22,2756
2024-02-23,2381
2024-02-25,2127
2024-02-26,1917
2024-02-27,1636
2024-02-28,1899
2024-02-29,1235
2024-03-01,2129
2024-03-03,2927
2024-03-04,2306
2024-03-05,2738
2024-03-06,2079
2024-03-07,1199
2024-03-08,1383
2024-03-10,2996
2024-03-11,2612
2024-03-12,1575
2024-03-13,2301
2024-03-14,1522
2024-03-15,2902
2024-03-17,2627
2024-03-18,1060
2024-03-19,1217
2024-03-20,2185
2024-03-21,2293
2024-03-22,2334
2024-03-24,2934
2024-03-25,2768
2024-03-26,1181
2024-03-27,1283
2024-03-28,2005
2024-03-29,2841
2024-03-31,1166
2024-04-01,1148
2024-04-02,2168
2024-04-03,2725
2024-04-04,2065
2024-04-05,2480
2024-04-07,2321
2024-04-08,992
2024-04-09,2791
2024-04-10,2355
2024-04-11,1588
2024-04-12,1379
2024-04-14,2922
2024-04-15,1141
2024-04-16,1793
2024-04-17,2077
2024-04-18,1429
2024-04-19,1914
2024-04-21,2529
2024-04-22,2501
2024-04-23,2933
2024-04-24,1230
2024-04-25,1581
2024-04-26,2739
